ID,Pop,Country,Lat,Long,Elev,MajorComponent,K1,K2,K3,K4,K5,K6,K7,K8
HM054,DZA309-A,Algeria,34.803,-1.674,425.064,K8.8,0.216628,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.783312
HM107,SA09670,Algeria,34.833,-1.35,1098.571,K8.4,0.170105,0.00001,0.00001,0.760176,0.061901,0.00001,0.00001,0.007778
HM276,PI577627SSD,Algeria,34.78333333,-1.35,1266.035,K8.8,0.488335,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.511605
HM055,DZA326,Algeria,35.216,-0.984,472.759,K8.8,0.440811,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.559129
HM087,DZA323-1,Algeria,35.633,-0.874,476.578,K8.8,0.420924,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.579016
HM088,DZA323-D,Algeria,35.633,-0.874,476.578,K8.8,0.414054,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.585886
HM168,DZA323-3,Algeria,35.633,-0.874,476.578,K8.8,0.424133,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.575807
HM086,DZA322--,Algeria,35.387,-0.841,149.032,K8.8,0.321032,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.678908
HM011,DZA327-7,Algeria,35.252,-0.703,461.027,K8.8,0.432346,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.567594
HM268,PI660438SSD,Algeria,35.18333333,-0.63333333,477.746,K8.7,0.00001,0.028412,0.00001,0.00001,0.00001,0.00001,0.971528,0.00001
HM085,DZA319,Algeria,35.288,-0.571,424.505,K8.8,0.358566,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.641374
HM267,PI660437SSD,Algeria,35.51666667,-0.18333333,100.488,K8.4,0.150439,0.00001,0.00001,0.78772,0.00001,0.00001,0.00001,0.06179
HM105,SA09137,Algeria,34.833,-0.167,838.968,K8.4,0.000015,0.00001,0.00001,0.968387,0.031548,0.00001,0.00001,0.00001
HM051,DZA202-4,Algeria,35.221,0.121,488.569,K8.8,0.418001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.581939
HM081,DZA202-5,Algeria,35.221,0.121,488.569,K8.8,0.447733,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.552207
HM277,PI577621SSD,Algeria,34.85,0.15,791.13,K8.8,0.486422,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.513518
HM005,DZA315-16,Algeria,34.716,0.158,1136.269,K8.4,0.00001,0.00001,0.00001,0.996524,0.003416,0.00001,0.00001,0.00001
HM164,DZA215-5,Algeria,34.916,1.527,1141.798,K8.8,0.582308,0.00001,0.00001,0.029768,0.004393,0.00001,0.00001,0.38349
HM295,PI660442SSD,Algeria,35.41666667,1.75,909.214,K8.4,0.00001,0.00001,0.00001,0.994188,0.005752,0.00001,0.00001,0.00001
HM052,DZA210-3,Algeria,35.857,2.039,1202.076,K8.1,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM082,DZA210-2,Algeria,35.857,2.039,1202.076,K8.1,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM083,DZA210-5,Algeria,35.857,2.039,1202.076,K8.1,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM298,PI660448SSD,Algeria,36.36666667,2.46666667,238.014,K8.1,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM266,PI660450SSD,Algeria,36.23,2.88,1083.365,K8.1,0.619113,0.00001,0.00001,0.380827,0.00001,0.00001,0.00001,0.00001
HM067,SA01526,Algeria,36,3,751.968,K8.1,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM294,PI660433SSD,Algeria,36.75,3.05,172.639,K8.1,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM008,DZA012-J,Algeria,36.54866791,3.183333397,150.255,K8.1,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM047,DZA014,Algeria,36.475,3.311,907.465,K8.1,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM048,DZA016-F,Algeria,36.279,3.567,623.734,K8.4,0.115562,0.00001,0.029819,0.854568,0.00001,0.00001,0.00001,0.00001
HM165,DZA231-1,Algeria,36.108,4.944,961.385,K8.4,0.099406,0.00001,0.00001,0.838303,0.00001,0.060077,0.002174,0.00001
HM014,DZA233-4,Algeria,35.847,4.951,1390.534,K8.4,0.188888,0.00001,0.00001,0.811052,0.00001,0.00001,0.00001,0.00001
HM161,DZA033-2,Algeria,36.509,5.394,769.547,K8.1,0.902957,0.00001,0.00001,0.096983,0.00001,0.00001,0.00001,0.00001
HM028,DZA241-2,Algeria,35.487,6.478,1035.529,K8.3,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001
HM166,DZA236-2,Algeria,36.014,6.567,780.337,K8.4,0.00001,0.00001,0.00001,0.905537,0.094396,0.000016,0.00001,0.00001
HM167,DZA242-A,Algeria,35.509,6.892,893.63,K8.4,0.00001,0.00001,0.00326,0.869242,0.127448,0.00001,0.00001,0.00001
HM053,DZA246-6,Algeria,36.302,7.15,646.527,K8.4,0.00001,0.000018,0.00001,0.999921,0.00001,0.00001,0.000011,0.00001
HM296,PI660444SSD,Algeria,36.75,7.26,51.591,K8.4,0.13473,0.00001,0.00001,0.86521,0.00001,0.00001,0.00001,0.00001
HM084,DZA243-6,Algeria,35.809,7.367,961.128,K8.4,0.00001,0.00001,0.00001,0.961181,0.038759,0.00001,0.00001,0.00001
HM080,DZA061-B3d,Algeria,36.5,7.404,220.023,K8.4,0.109436,0.00001,0.00001,0.890504,0.00001,0.00001,0.00001,0.00001
HM163,DZA061-11,Algeria,36.5,7.404,220.023,K8.4,0.092247,0.00001,0.00001,0.724671,0.00001,0.183033,0.00001,0.00001
HM072,SA09357,Algeria,36.65,7.417,100.26,K8.4,0.102939,0.00001,0.00001,0.849676,0.00001,0.00001,0.047335,0.00001
HM074,SA09866,Algeria,36.65,7.417,100.26,K8.4,0.106902,0.00001,0.00001,0.893038,0.00001,0.00001,0.00001,0.00001
HM004,DZA045-6,Algeria,36.923,7.736,72.775,K8.4,0.089584,0.00001,0.00001,0.802167,0.00001,0.049067,0.059142,0.00001
