"","Group.1","K1","K2","K3","K4","K5","K6","K7","K8","x"
"1","Algeria_1",0.989155222222222,1e-05,1e-05,0.0107847777777778,1e-05,1e-05,1e-05,1e-05,9
"2","Algeria_2",1e-05,0.028412,1e-05,1e-05,1e-05,1e-05,0.971528,1e-05,1
"3","Algeria_3",0.4555067,1e-05,1e-05,0.0029858,0.0004483,1e-05,1e-05,0.5410191,10
"4","Algeria_4",0.122267153846154,1e-05,0.002303,0.834084769230769,0.00477084615384615,0.0228388461538462,0.00836546153846154,0.00535984615384615,13
"5","Algeria_5",1.05e-05,1.08e-05,0.0016044,0.9477321,0.0506113,1.06e-05,1.01e-05,1e-05,10
"6","Algeria_6",0.619113,1e-05,1e-05,0.380827,1e-05,1e-05,1e-05,1e-05,1
"7","Algeria_7",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1
"8","Algeria_8",0.298742,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.701198,3
"9","Cyprus_0",1e-05,1e-05,0.0426784,0.0414851,0.0158586,1e-05,0.899938,1e-05,10
"10","France,Corsica_1",0.084341,0.1514,1e-05,1e-05,1e-05,0.764209,1e-05,1e-05,1
"11","France,Corsica_2",1e-05,1e-05,0.095768,0.833669,0.070513,1e-05,1e-05,1e-05,1
"12","France,Corsica_3",0.100408,0.041078,1e-05,1e-05,1e-05,0.858464,1e-05,1e-05,1
"13","France,Corsica_4",0.023015,1e-05,1e-05,1e-05,1e-05,0.813702,0.163233,1e-05,1
"14","France,Corsica_5",0.056047,0.049812,0.013714,0.068109,1e-05,0.743815,0.068483,1e-05,1
"15","France,Corsica_6",1e-05,1e-05,1e-05,0.00295925,1e-05,0.99698075,1e-05,1e-05,8
"16","France,Corsica_7",1e-05,0.046285,1e-05,0.010159,1e-05,0.8933,0.050216,1e-05,1
"17","France_1",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,7
"18","France_2",1e-05,1e-05,1e-05,1e-05,1e-05,0.893569,1e-05,0.106371,1
"19","France_3",1e-05,0.094617,1e-05,1e-05,1e-05,0.706953,0.065884,0.132506,1
"20","France_4",1e-05,1e-05,1e-05,0.211758,1e-05,0.578975,0.209218,1e-05,1
"21","France_5",0.498772,1e-05,1e-05,1e-05,1e-05,0.419001,0.082178,1e-05,1
"22","France_6",0.099963,0.487051,1e-05,1.3e-05,1.1e-05,0.021512,1e-05,0.39143,2
"23","France_7",1e-05,1e-05,0.005154,0.005601,0.106365,0.381932,0.500919,1e-05,1
"24","France_8",1e-05,1e-05,0.282491,0.182254,0.10847,0.193635,0.23312,1e-05,1
"25","France_9",1e-05,1e-05,1e-05,1e-05,1e-05,0.7069,0.29304,1e-05,1
