"","Group.1","K1","K2","K3","K4","K5","K6","K7","K8","x"
"1","Algeria_1",0.0323243333333333,0,0,0.0323243333333333,0,0,0,0,9
"2","Algeria_2",NA,NA,NA,NA,NA,NA,NA,NA,1
"3","Algeria_3",0.0518867472183408,0,0,0.00941030586112906,0.0013860262984518,0,0,0.0614073098696998,10
"4","Algeria_4",0.0305154002755061,0,0.00826752907463893,0.05342734855882,0.0171654749222878,0.052248157729637,0.0200693658702984,0.0170905410575858,13
"5","Algeria_5",1.58113883008419e-06,2.5298221281347e-06,0.00403152883049484,0.0554873718775523,0.0546282549440611,1.89736659610103e-06,3.16227766016838e-07,0,10
"6","Algeria_6",NA,NA,NA,NA,NA,NA,NA,NA,1
"7","Algeria_7",NA,NA,NA,NA,NA,NA,NA,NA,1
"8","Algeria_8",0.073547481506847,0,0,0,0,0,0,0.073547481506847,3
"9","Cyprus_0",0,0,0.134929328115128,0.13115578218325,0.0501176737249446,0,0.316202467795557,0,10
"10","France,Corsica_1",NA,NA,NA,NA,NA,NA,NA,NA,1
"11","France,Corsica_2",NA,NA,NA,NA,NA,NA,NA,NA,1
"12","France,Corsica_3",NA,NA,NA,NA,NA,NA,NA,NA,1
"13","France,Corsica_4",NA,NA,NA,NA,NA,NA,NA,NA,1
"14","France,Corsica_5",NA,NA,NA,NA,NA,NA,NA,NA,1
"15","France,Corsica_6",0,0,0,0.0083417386976577,0,0.0083417386976577,0,0,8
"16","France,Corsica_7",NA,NA,NA,NA,NA,NA,NA,NA,1
"17","France_1",0,0,0,0,0,0,0,0,7
"18","France_2",NA,NA,NA,NA,NA,NA,NA,NA,1
"19","France_3",NA,NA,NA,NA,NA,NA,NA,NA,1
"20","France_4",NA,NA,NA,NA,NA,NA,NA,NA,1
"21","France_5",NA,NA,NA,NA,NA,NA,NA,NA,1
"22","France_6",0.00663266160752982,0.00757735626719505,0,4.24264068711928e-06,1.41421356237309e-06,0.0304084200181463,0,0.031358771532061,2
"23","France_7",NA,NA,NA,NA,NA,NA,NA,NA,1
"24","France_8",NA,NA,NA,NA,NA,NA,NA,NA,1
"25","France_9",NA,NA,NA,NA,NA,NA,NA,NA,1
